time,code,weight
2023-01-06,000001.XSHE,0.0
2023-01-06,000002.XSHE,0.0
2023-01-06,000063.XSHE,0.0
2023-01-06,000069.XSHE,0.0
2023-01-06,000100.XSHE,0.0
2023-01-06,000157.XSHE,0.0
2023-01-06,000166.XSHE,0.0
2023-01-06,000301.XSHE,0.0
2023-01-06,000333.XSHE,0.0
2023-01-06,000338.XSHE,0.0
2023-01-06,000408.XSHE,0.0
2023-01-06,000425.XSHE,0.0
2023-01-06,000538.XSHE,0.0
2023-01-06,000568.XSHE,0.0
2023-01-06,000596.XSHE,0.0
2023-01-06,000625.XSHE,0.0
2023-01-06,000651.XSHE,0.0
2023-01-06,000661.XSHE,0.0
2023-01-06,000708.XSHE,0.0
2023-01-06,000723.XSHE,0.0
2023-01-06,000725.XSHE,0.0
2023-01-06,000733.XSHE,0.0
2023-01-06,000768.XSHE,0.0
2023-01-06,000776.XSHE,0.0
2023-01-06,000786.XSHE,0.0
2023-01-06,000792.XSHE,0.0
2023-01-06,000800.XSHE,0.0
2023-01-06,000858.XSHE,0.0
2023-01-06,000876.XSHE,0.0
2023-01-06,000877.XSHE,0.0
2023-01-06,000895.XSHE,0.0
2023-01-06,000938.XSHE,0.0
2023-01-06,000963.XSHE,0.0
2023-01-06,000977.XSHE,0.0
2023-01-06,001289.XSHE,0.0
2023-01-06,001979.XSHE,0.0
2023-01-06,002001.XSHE,0.0
2023-01-06,002007.XSHE,0.0
2023-01-06,002008.XSHE,0.0
2023-01-06,002027.XSHE,0.0
2023-01-06,002032.XSHE,0.0
2023-01-06,002049.XSHE,0.0
2023-01-06,002050.XSHE,0.0
2023-01-06,002064.XSHE,0.0
2023-01-06,002074.XSHE,0.0
2023-01-06,002120.XSHE,0.0
2023-01-06,002129.XSHE,0.0
2023-01-06,002142.XSHE,0.0
2023-01-06,002179.XSHE,0.0
2023-01-06,002180.XSHE,0.0
2023-01-06,002202.XSHE,0.0
2023-01-06,002230.XSHE,0.0
2023-01-06,002236.XSHE,0.0
2023-01-06,002241.XSHE,0.0
2023-01-06,002252.XSHE,0.0
2023-01-06,002271.XSHE,0.0
2023-01-06,002304.XSHE,0.0
2023-01-06,002311.XSHE,0.0
2023-01-06,002352.XSHE,0.0
2023-01-06,002371.XSHE,0.0
2023-01-06,002410.XSHE,0.0
2023-01-06,002414.XSHE,0.0
2023-01-06,002415.XSHE,0.0
2023-01-06,002459.XSHE,0.0
2023-01-06,002460.XSHE,0.0
2023-01-06,002466.XSHE,0.0
2023-01-06,002475.XSHE,0.0
2023-01-06,002493.XSHE,0.0
2023-01-06,002555.XSHE,0.0
2023-01-06,002594.XSHE,0.0
2023-01-06,002600.XSHE,0.0
2023-01-06,002601.XSHE,0.0
2023-01-06,002602.XSHE,0.0
2023-01-06,002648.XSHE,0.0
2023-01-06,002709.XSHE,0.0
2023-01-06,002714.XSHE,0.0
2023-01-06,002736.XSHE,0.0
2023-01-06,002756.XSHE,0.0
2023-01-06,002812.XSHE,0.0
2023-01-06,002821.XSHE,0.0
2023-01-06,002841.XSHE,0.0
2023-01-06,002916.XSHE,0.0
2023-01-06,002920.XSHE,0.0
2023-01-06,002938.XSHE,0.0
2023-01-06,003816.XSHE,0.03333333333333333
2023-01-06,300014.XSHE,0.0
2023-01-06,300015.XSHE,0.0
2023-01-06,300033.XSHE,0.0
2023-01-06,300059.XSHE,0.0
2023-01-06,300122.XSHE,0.0
2023-01-06,300124.XSHE,0.0
2023-01-06,300142.XSHE,0.0
2023-01-06,300207.XSHE,0.0
2023-01-06,300223.XSHE,0.0
2023-01-06,300274.XSHE,0.0
2023-01-06,300316.XSHE,0.0
2023-01-06,300347.XSHE,0.0
2023-01-06,300408.XSHE,0.0
2023-01-06,300413.XSHE,0.0
2023-01-06,300433.XSHE,0.0
2023-01-06,300450.XSHE,0.0
2023-01-06,300454.XSHE,0.0
2023-01-06,300496.XSHE,0.0
2023-01-06,300498.XSHE,0.0
2023-01-06,300529.XSHE,0.0
2023-01-06,300595.XSHE,0.0
2023-01-06,300601.XSHE,0.0
2023-01-06,300628.XSHE,0.0
2023-01-06,300661.XSHE,0.0
2023-01-06,300750.XSHE,0.0
2023-01-06,300751.XSHE,0.0
2023-01-06,300759.XSHE,0.0
2023-01-06,300760.XSHE,0.0
2023-01-06,300763.XSHE,0.0
2023-01-06,300769.XSHE,0.0
2023-01-06,300782.XSHE,0.0
2023-01-06,300896.XSHE,0.0
2023-01-06,300919.XSHE,0.0
2023-01-06,300957.XSHE,0.0
2023-01-06,300979.XSHE,0.0
2023-01-06,300999.XSHE,0.0
2023-01-06,600000.XSHG,0.03333333333333333
2023-01-06,600009.XSHG,0.0
2023-01-06,600010.XSHG,0.0
2023-01-06,600011.XSHG,0.0
2023-01-06,600015.XSHG,0.03333333333333333
2023-01-06,600016.XSHG,0.03333333333333333
2023-01-06,600018.XSHG,0.0
2023-01-06,600019.XSHG,0.03333333333333333
2023-01-06,600025.XSHG,0.0
2023-01-06,600028.XSHG,0.03333333333333333
2023-01-06,600029.XSHG,0.0
2023-01-06,600030.XSHG,0.0
2023-01-06,600031.XSHG,0.0
2023-01-06,600036.XSHG,0.0
2023-01-06,600039.XSHG,0.0
2023-01-06,600048.XSHG,0.0
2023-01-06,600050.XSHG,0.0
2023-01-06,600061.XSHG,0.0
2023-01-06,600085.XSHG,0.0
2023-01-06,600089.XSHG,0.03333333333333333
2023-01-06,600104.XSHG,0.0
2023-01-06,600111.XSHG,0.0
2023-01-06,600115.XSHG,0.0
2023-01-06,600132.XSHG,0.0
2023-01-06,600150.XSHG,0.0
2023-01-06,600176.XSHG,0.0
2023-01-06,600183.XSHG,0.0
2023-01-06,600188.XSHG,0.03333333333333333
2023-01-06,600196.XSHG,0.0
2023-01-06,600219.XSHG,0.0
2023-01-06,600233.XSHG,0.0
2023-01-06,600276.XSHG,0.0
2023-01-06,600309.XSHG,0.0
2023-01-06,600332.XSHG,0.0
2023-01-06,600346.XSHG,0.0
2023-01-06,600362.XSHG,0.0
2023-01-06,600383.XSHG,0.0
2023-01-06,600406.XSHG,0.0
2023-01-06,600426.XSHG,0.0
2023-01-06,600436.XSHG,0.0
2023-01-06,600438.XSHG,0.0
2023-01-06,600460.XSHG,0.0
2023-01-06,600519.XSHG,0.0
2023-01-06,600547.XSHG,0.0
2023-01-06,600570.XSHG,0.0
2023-01-06,600584.XSHG,0.0
2023-01-06,600585.XSHG,0.0
2023-01-06,600588.XSHG,0.0
2023-01-06,600600.XSHG,0.0
2023-01-06,600606.XSHG,0.0
2023-01-06,600660.XSHG,0.0
2023-01-06,600674.XSHG,0.0
2023-01-06,600690.XSHG,0.0
2023-01-06,600741.XSHG,0.0
2023-01-06,600745.XSHG,0.0
2023-01-06,600760.XSHG,0.0
2023-01-06,600763.XSHG,0.0
2023-01-06,600795.XSHG,0.0
2023-01-06,600803.XSHG,0.0
2023-01-06,600809.XSHG,0.0
2023-01-06,600837.XSHG,0.0
2023-01-06,600845.XSHG,0.0
2023-01-06,600884.XSHG,0.0
2023-01-06,600886.XSHG,0.0
2023-01-06,600887.XSHG,0.0
2023-01-06,600893.XSHG,0.0
2023-01-06,600900.XSHG,0.0
2023-01-06,600905.XSHG,0.0
2023-01-06,600918.XSHG,0.0
2023-01-06,600919.XSHG,0.03333333333333333
2023-01-06,600926.XSHG,0.0
2023-01-06,600941.XSHG,0.0
2023-01-06,600958.XSHG,0.0
2023-01-06,600989.XSHG,0.0
2023-01-06,600999.XSHG,0.0
2023-01-06,601006.XSHG,0.03333333333333333
2023-01-06,601009.XSHG,0.03333333333333333
2023-01-06,601012.XSHG,0.0
2023-01-06,601021.XSHG,0.0
2023-01-06,601066.XSHG,0.0
2023-01-06,601088.XSHG,0.03333333333333333
2023-01-06,601100.XSHG,0.0
2023-01-06,601111.XSHG,0.0
2023-01-06,601117.XSHG,0.0
2023-01-06,601138.XSHG,0.0
2023-01-06,601155.XSHG,0.0
2023-01-06,601166.XSHG,0.03333333333333333
2023-01-06,601169.XSHG,0.03333333333333333
2023-01-06,601186.XSHG,0.03333333333333333
2023-01-06,601211.XSHG,0.03333333333333333
2023-01-06,601216.XSHG,0.0
2023-01-06,601225.XSHG,0.03333333333333333
2023-01-06,601229.XSHG,0.03333333333333333
2023-01-06,601236.XSHG,0.0
2023-01-06,601238.XSHG,0.0
2023-01-06,601288.XSHG,0.03333333333333333
2023-01-06,601318.XSHG,0.0
2023-01-06,601319.XSHG,0.0
2023-01-06,601328.XSHG,0.03333333333333333
2023-01-06,601336.XSHG,0.0
2023-01-06,601360.XSHG,0.0
2023-01-06,601377.XSHG,0.0
2023-01-06,601390.XSHG,0.03333333333333333
2023-01-06,601398.XSHG,0.03333333333333333
2023-01-06,601600.XSHG,0.0
2023-01-06,601601.XSHG,0.0
2023-01-06,601615.XSHG,0.0
2023-01-06,601618.XSHG,0.0
2023-01-06,601628.XSHG,0.0
2023-01-06,601633.XSHG,0.0
2023-01-06,601658.XSHG,0.0
2023-01-06,601668.XSHG,0.03333333333333333
2023-01-06,601669.XSHG,0.0
2023-01-06,601688.XSHG,0.0
2023-01-06,601689.XSHG,0.0
2023-01-06,601698.XSHG,0.0
2023-01-06,601728.XSHG,0.0
2023-01-06,601766.XSHG,0.0
2023-01-06,601788.XSHG,0.0
2023-01-06,601799.XSHG,0.0
2023-01-06,601800.XSHG,0.0
2023-01-06,601808.XSHG,0.0
2023-01-06,601816.XSHG,0.0
2023-01-06,601818.XSHG,0.03333333333333333
2023-01-06,601838.XSHG,0.03333333333333333
2023-01-06,601857.XSHG,0.0
2023-01-06,601865.XSHG,0.0
2023-01-06,601868.XSHG,0.0
2023-01-06,601877.XSHG,0.0
2023-01-06,601878.XSHG,0.0
2023-01-06,601881.XSHG,0.0
2023-01-06,601888.XSHG,0.0
2023-01-06,601898.XSHG,0.03333333333333333
2023-01-06,601899.XSHG,0.0
2023-01-06,601901.XSHG,0.0
2023-01-06,601919.XSHG,0.03333333333333333
2023-01-06,601939.XSHG,0.03333333333333333
2023-01-06,601966.XSHG,0.0
2023-01-06,601985.XSHG,0.0
2023-01-06,601988.XSHG,0.03333333333333333
2023-01-06,601989.XSHG,0.0
2023-01-06,601995.XSHG,0.0
2023-01-06,601998.XSHG,0.03333333333333333
2023-01-06,603019.XSHG,0.0
2023-01-06,603185.XSHG,0.0
2023-01-06,603195.XSHG,0.0
2023-01-06,603259.XSHG,0.0
2023-01-06,603260.XSHG,0.0
2023-01-06,603288.XSHG,0.0
2023-01-06,603290.XSHG,0.0
2023-01-06,603369.XSHG,0.0
2023-01-06,603392.XSHG,0.0
2023-01-06,603486.XSHG,0.0
2023-01-06,603501.XSHG,0.0
2023-01-06,603659.XSHG,0.0
2023-01-06,603799.XSHG,0.0
2023-01-06,603806.XSHG,0.0
2023-01-06,603833.XSHG,0.0
2023-01-06,603882.XSHG,0.0
2023-01-06,603899.XSHG,0.0
2023-01-06,603986.XSHG,0.0
2023-01-06,603993.XSHG,0.0
2023-01-06,605117.XSHG,0.0
2023-01-06,605499.XSHG,0.0
2023-01-06,688005.XSHG,0.0
2023-01-06,688008.XSHG,0.0
2023-01-06,688012.XSHG,0.0
2023-01-06,688036.XSHG,0.0
2023-01-06,688065.XSHG,0.0
2023-01-06,688111.XSHG,0.0
2023-01-06,688126.XSHG,0.0
2023-01-06,688169.XSHG,0.0
2023-01-06,688187.XSHG,0.0
2023-01-06,688303.XSHG,0.0
2023-01-06,688363.XSHG,0.0
2023-01-06,688396.XSHG,0.0
2023-01-06,688561.XSHG,0.0
2023-01-06,688599.XSHG,0.0
2023-01-06,688981.XSHG,0.0
2023-01-13,000001.XSHE,0.0
2023-01-13,000002.XSHE,0.0
2023-01-13,000063.XSHE,0.0
2023-01-13,000069.XSHE,0.0
2023-01-13,000100.XSHE,0.0
2023-01-13,000157.XSHE,0.0
2023-01-13,000166.XSHE,0.03333333333333333
2023-01-13,000301.XSHE,0.0
2023-01-13,000333.XSHE,0.0
2023-01-13,000338.XSHE,0.0
2023-01-13,000408.XSHE,0.0
2023-01-13,000425.XSHE,0.0
2023-01-13,000538.XSHE,0.0
2023-01-13,000568.XSHE,0.0
2023-01-13,000596.XSHE,0.0
2023-01-13,000625.XSHE,0.0
2023-01-13,000651.XSHE,0.0
2023-01-13,000661.XSHE,0.0
2023-01-13,000708.XSHE,0.0
2023-01-13,000723.XSHE,0.0
2023-01-13,000725.XSHE,0.0
2023-01-13,000733.XSHE,0.0
2023-01-13,000768.XSHE,0.0
2023-01-13,000776.XSHE,0.0
2023-01-13,000786.XSHE,0.0
2023-01-13,000792.XSHE,0.0
2023-01-13,000800.XSHE,0.0
